Number,Name,HexColor
70.826,Medium Brown,
70.855,Black Glaze,#1b1a18
70.470,Gloss Medium,#ffffff
70.510,Gloss Varnish,
70.517,Dark Grey Wash,#51554c
70.520,Matt Varnish,#635b46
70.521,Metal Medium,
70.540,Matt Medium,#ffffff
70.598,Crackle Medium,#ffffff
70.730,Yellow Fluorescent - RAL 1026,#efe94b
70.733,Orange Fluorescent - FS38903 - RAL 2005,#e7683a
70.735,Magenta Fluorescent,#e55680
70.736,Blue Fluorescent,#375694
70.737,Green Fluorescent - FS38901,#8bb469
70.740,Middle Brown - Cam. SS,#57443d
70.741,Dark Black Green - Cam. SS,#002418
70.742,Primula Flesh,#fdeadc
70.743,Primula Tan Flesh,#f9ca9e
70.800,Gunmetal Blue,#354b62
70.801,Brass,#8f6c36
70.802,Sunset Red,#c44570
70.803,Brown Rose,#b5838c
70.804,Beige Red - FS31433 - RAL 3012,#cb9565
70.805,German Orange - FS32356,#d18578
70.806,German Yellow,#c7bd7f
70.807,Oxford Blue,#3b3f58
70.808,Blue Green - FS35275,#168f92
70.809,Royal Blue - FS35095,#3a649e
70.810,Royal Purple - FS37100,#502560
70.811,Blue Violet,#614c79
70.812,Violet Red,#6e2b48
70.814,Burnt Red - RAL 8012,#653536
70.815,Basic Skin Tone (Flesh Tone),#e9ac8d
70.816,Luftwaffe Uniform WWII,#676c73
70.817,Scarlet - RLM 23,#bb464c
70.818,Red Leather,#a55750
70.819,Iraqi Sand - FS30475,#99835c
70.820,Off-White - FS17925,#f4ede7
70.821,German Camouflage Beige WWll - FS33303,#ab9c7f
70.822,German Camouflage Black Brown - RLM61,#434142
70.823,Luftwaffe Camouflage Green - FS34095 - RAL 6020 - RLM82,#445147
70.824,German Camouflage Orange Ochre - FS30266 - ANA615,#8f7250
70.825,German Camouflage Pale Brown - FS30140,#79604f
70.826,German Camouflage Medium Brown - FS30097,#6f5b41
70.827,Lime Green,#7caa30
70.828,Wood Grain - Transparent,#453a34
70.829,Amaranth Red - FS31400,#c15c48
70.830,German Fieldgrey WWII - FS34086 - RAL 7009,#514e33
70.831,Tan Glaze,#cf8f40
70.832,Verdigris Glaze,#89d0c8
70.833,German Camouflage Bright Green - RAL 6025,#548744
70.834,Natural Wood Grain - Transparent,#f9d768
70.835,Salmon Rose,#f4a288
70.836,London Grey - FS36081 - ANA603,#38393f
70.837,Pale Sand - FS33798,#d5c79e
70.838,Emerald,#008861
70.839,Ultramarine Blue,#3c5ea8
70.840,Light Turquoise,#1b98aa
70.841,Andrea Blue - RAL 5012,#2973b8
70.842,Gloss White - FS17925,#fffcf6
70.843,Cork Brown - FS30215,#7f6355
70.844,Deep Sky Blue - FS35250,#00bfff
70.845,Sunny Skin Tone - FS32544,#efad6e
70.846,Mahogany Brown - RAL 8002,#5f4340
70.847,Dark Sand - RAL 1001,#c9ac82
70.850,Medium Olive - (Green) FS34151 - ANA611,#2a7233
70.851,Bright Orange,#f66838
70.853,White Glaze,#eeeef1
70.854,Brown Glaze,#493e3d
70.855,Black Glaze,#343639
70.856,Ochre Brown (Ochre Maroon),#aa7833
70.857,Golden Olive,#7c8252
70.858,Ice Yellow,#ffffc1
70.859,Black Red,#4b3738
70.860,Medium Flesh Tone,#c18237
70.861,Glossy Black - FS17038,#181c1d
70.862,Black Grey - FS37031 - RAL 7021,#34393b
